Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-25 11:17:31,2018-10-25 11:20:18,2m - 47.048s,PASSED
,,,,,,
Test Cases/Prompts/Prompts - Add,Chrome 69.0.3497.100,,2018-10-25 11:17:31,2018-10-25 11:18:01,29.770s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-25 11:17:31,2018-10-25 11:17:33,1.978s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-25 11:17:33,2018-10-25 11:17:36,2.409s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-25 11:17:36,2018-10-25 11:17:36,0.260s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-25 11:17:36,2018-10-25 11:17:36,0.170s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-25 11:17:36,2018-10-25 11:17:41,4.480s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-25 11:17:41,2018-10-25 11:17:41,0.612s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-25 11:17:41,2018-10-25 11:17:55,14.155s,PASSED
click,Chrome 69.0.3497.100,,2018-10-25 11:17:55,2018-10-25 11:17:55,0.069s,PASSED
click,Chrome 69.0.3497.100,,2018-10-25 11:17:55,2018-10-25 11:17:59,4.044s,PASSED
click,Chrome 69.0.3497.100,,2018-10-25 11:17:59,2018-10-25 11:18:00,0.082s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.147s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.111s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.186s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.094s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.101s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.099s,PASSED
click,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.087s,PASSED
click,Chrome 69.0.3497.100,,2018-10-25 11:18:00,2018-10-25 11:18:00,0.063s,PASSED
