Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.102,,2018-11-14 11:28:37,2018-11-14 11:33:58,5m - 20.971s,FAILED
,,,,,,
Test Cases/SuperAdminConsole/Accounts/Create Account(SuperAdminConsole),Chrome 70.0.3538.102,,2018-11-14 11:28:38,2018-11-14 11:29:04,25.709s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:28:38,2018-11-14 11:28:41,2.418s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:28:41,2018-11-14 11:28:42,1.550s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:28:42,2018-11-14 11:28:42,0.267s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 11:28:42,2018-11-14 11:28:43,0.248s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 11:28:43,2018-11-14 11:28:44,1.297s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:44,2018-11-14 11:28:45,1.027s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:28:45,2018-11-14 11:28:46,0.995s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:46,2018-11-14 11:28:47,1.008s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:28:47,2018-11-14 11:28:47,0.285s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:47,2018-11-14 11:28:48,1.005s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:28:48,2018-11-14 11:28:48,0.183s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:48,2018-11-14 11:28:49,1.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:49,2018-11-14 11:28:50,0.708s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:50,2018-11-14 11:28:51,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:51,2018-11-14 11:28:51,0.143s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:51,2018-11-14 11:28:52,1.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:52,2018-11-14 11:28:52,0.002s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:52,2018-11-14 11:28:53,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:53,2018-11-14 11:28:54,0.463s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:54,2018-11-14 11:28:55,1.007s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:55,2018-11-14 11:28:55,0.471s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:55,2018-11-14 11:28:56,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:56,2018-11-14 11:28:56,0.147s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:56,2018-11-14 11:28:57,1.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:57,2018-11-14 11:28:58,0.208s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:58,2018-11-14 11:28:59,1.009s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:28:59,2018-11-14 11:28:59,0.340s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:28:59,2018-11-14 11:29:00,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:29:00,2018-11-14 11:29:00,0.155s,PASSED
